  series           line    ours   close   won   ourBr   mktBr
  game total        2.5   0.968   0.970  True   0.001   0.001
  game total        1.5   0.985   0.990  True   0.000   0.000
  game total       11.5   0.225   0.220 False   0.051   0.048
  game total       10.5   0.310   0.290 False   0.096   0.084
  game total        9.5   0.362   0.340 False   0.131   0.116
  game total        8.5   0.445   0.640 False   0.198   0.410
  game total        7.5   0.530   0.710 False   0.281   0.504
  game total        6.5   0.650   0.790 False   0.423   0.624
  game total        5.5   0.723   0.860  True   0.077   0.020
  game total        4.5   0.830   0.930  True   0.029   0.005
  game total        3.5   0.902   0.950  True   0.010   0.003
  game total       13.5   0.102   0.230 False   0.011   0.053
  game total       12.5   0.130   0.300 False   0.017   0.090
  game total       11.5   0.182   0.360 False   0.033   0.130
  game total       10.5   0.268   0.450 False   0.072   0.203
  game total        9.5   0.352   0.530 False   0.124   0.281
  game total        8.5   0.480   0.470  True   0.270   0.281
  game total        6.5   0.657   0.670  True   0.117   0.109
  game total        5.5   0.728   0.740  True   0.074   0.068
  game total        4.5   0.838   0.850  True   0.026   0.023
  game total        3.5   0.892   0.910  True   0.012   0.008
  game total        2.5   0.953   0.950  True   0.002   0.003
  game total       12.5   0.177   0.180 False   0.032   0.032
  game total       11.5   0.235   0.220 False   0.055   0.048
  game total       10.5   0.315   0.300 False   0.099   0.090
  game total        9.5   0.398   0.370 False   0.158   0.137
  game total        8.5   0.328   0.350  True   0.452   0.423
  game total        7.5   0.425   0.400  True   0.331   0.360
  game total        6.5   0.580   0.530  True   0.176   0.221
  game total        5.5   0.662   0.640  True   0.114   0.130
  game total        4.5   0.785   0.780  True   0.046   0.048
  game total        3.5   0.858   0.860  True   0.020   0.020
  game total        2.5   0.953   0.950  True   0.002   0.003
  game total        1.5   0.980   0.960  True   0.000   0.002
  game total       10.5   0.185   0.200  True   0.664   0.640
  game total        9.5   0.237   0.260  True   0.581   0.548
  game total        8.5   0.388   0.390  True   0.375   0.372
  game total        7.5   0.475   0.460  True   0.276   0.292
  game total        6.5   0.627   0.610  True   0.139   0.152
  game total        5.5   0.700   0.700  True   0.090   0.090
  game total        4.5   0.800   0.800  True   0.040   0.040
  game total        3.5   0.875   0.870  True   0.016   0.017
  game total        2.5   0.950   0.950  True   0.003   0.003
  game total       12.5   0.120   0.140  True   0.774   0.740
  game total       11.5   0.177   0.180  True   0.677   0.672
  game total       10.5   0.235   0.250  True   0.585   0.562
  game total        9.5   0.290   0.300  True   0.504   0.490
  game total        7.5   0.495   0.600 False   0.245   0.360
  game total        6.5   0.620   0.710  True   0.144   0.084
  game total        5.5   0.695   0.780  True   0.093   0.048
  game total        4.5   0.800   0.880  True   0.040   0.014
  game total        3.5   0.890   0.910  True   0.012   0.008
  game total        2.5   0.950   0.960  True   0.003   0.002
  game total       12.5   0.130   0.210 False   0.017   0.044
  game total       11.5   0.175   0.260 False   0.031   0.068
  game total       10.5   0.247   0.340 False   0.061   0.116
  game total        9.5   0.318   0.410 False   0.101   0.168
  game total        8.5   0.422   0.470 False   0.179   0.221
  game total        7.5   0.525   0.570  True   0.226   0.185
  game total        6.5   0.625   0.680  True   0.141   0.102
  game total        5.5   0.718   0.750  True   0.080   0.062
  game total        4.5   0.828   0.860  True   0.030   0.020
  game total        3.5   0.890   0.900  True   0.012   0.010
  game total        2.5   0.968   0.950  True   0.001   0.003
  game total       12.5   0.152   0.170 False   0.023   0.029
  game total       11.5   0.198   0.240 False   0.039   0.058
  game total       10.5   0.263   0.320 False   0.069   0.102
  game total        9.5   0.333   0.370 False   0.111   0.137
  game total        8.5   0.485   0.430 False   0.235   0.185
  game total        7.5   0.560   0.520 False   0.314   0.270
  game total        6.5   0.667   0.650 False   0.446   0.423
  game total        5.5   0.760   0.730 False   0.578   0.533
  game total        4.5   0.863   0.840  True   0.019   0.026
  game total        3.5   0.900   0.900  True   0.010   0.010
  game total        2.5   0.953   0.960  True   0.002   0.002
  game total       11.5   0.223   0.180 False   0.050   0.032
  game total       10.5   0.292   0.250 False   0.086   0.062
  game total        9.5   0.367   0.330 False   0.135   0.109

  196 settled contracts   our Brier 0.1900   market 0.1959
  ONE SLATE. This is a smoke test, not evidence — the sample
  is far too small to move any conclusion either way.
